,한글 이름,영문 이름,가격,종류,나라,도시,아로마,음식매칭,전문가 평점,소비자 평점,알코올,당도,산도,바디,타닌,메이커스 노트,테이스팅 노트
62,"프레스코발디, 니포짜노 키안티 루피나 리제르바","Frescobaldi, Nipozzano Chianti Rufina Riserva",59000.0,,이탈리아,키안티,"체리, 블랙체리, 정향, 감초, 육두구, 꽃","가금류, 치킨, 후라이드",91점,5,13~14 %,1,3,3,4,"강렬한 루비컬러에 잘 익은 블랙체리 향에 덤불향이 어우러진다. 입 안에서는 바이올렛 꽃 향기와 감초, 정향과 육두구의 스파이시함이 느껴지며 타닌과 부드러운 텍스처가 조화를 이루는 와인이다.",
63,"울프 블라스, 골드 라벨 샤도네이","Wolf Blass, Gold Label Chardonnay",,,호주,애들레이드 힐즈,"배, 살구, 자몽, 열대과일","치즈, 해산물, 새우, 치킨, 샐러드",-,-,,1,3,4,1,"자몽, 살구 그리고 열대과일의 아로마가 풍부하고, 부드러우면서 동시에 적절한 산도로 더욱 신선감을 높여 줄 것이다. 아들레이드에서 100% 재배된 샤도네이는, 더욱 섬세한 샤도네이와 더불어 이국적인 맛과 향 그리고 더불어 서늘한 기온으로 인해 빚어지는 균형잡힌 산도로 인해, 더욱 와인의 구조미를 탄탄하게 해 주고 있다.",
64,헨켈 트로켄 피콜로,Henkell Trocken Piccolo,14000.0,스파클링,독일,,"해산물, 초밥",,-,3.5,11.5 %,1,5,3,1,"클래식한 드라이, 잘 숙성되고 신사적인 향과 포도의 부케가 살아있는 엘레강스한 스파클링 와인이다. 와인 그 자체로도 좋고 얼음을 넣어 마셔도 좋고 칵테일로 만들어 마셔도 좋다.","
강성숙
2016.07.27
NV 빈티지
0.0
1865"
65,"하디스, 리미티드 셀러 릴리즈 샤도네이","Hardys, Limited Cellar Release Chardonnay",24900.0,,호주,라임스톤 코스트,"라임, 오크","해산물, 닭고기, 샐러드",-,4.5,13 %,1,3,3,1,"라임스톤 코스트 지역은 온화한 여름, 낮에는 덥고 밤에는 추운 기온의 차로 최상급의 풍미를 자아내는 샤도네이 지역으로 유명하다. 오크통에 숙성 시킨 리저브 샤르도네 와인이다.",
66,고스트 파인 까베네 소비뇽,Ghost Pines Cabernet Sauvignon,38900.0,,미국,캘리포니아,"배, 블랙베리, 잼, 모카, 소나무","소고기, 돼지고기, 돼지",-,4.1,14~15 %,1,3,4,3,,"
와린이밍뚜
2021.03.02
2017 빈티지
3.5
약간의 산도와 중간정도의 탄닌감이 느껴진다. 기름기 있는 육류 삼겹살, 치킨 등과 어울리며 크림 또는 오일류의 파스타와 치즈피자 등과 곁들여 마시기 좋다. 많이 열릴수록 말린과일 또는 무화과 향이 나며 피니시는 여운을 남길 정도로 적당하다."
67,레스 크레스테스,Les Crestes,84000.0,,스페인,프리오랏,미네랄,"가금류, 포크",-,4,14~15 %,1,4,4,3,"수령 20년 정도의 Mas Doix 포도밭 중에서는 영한 포도 나무에서 수확한 그라나쉬 품종을 메인으로 하고, 수령 100년 이상된 올드 바인 까리냥과 시라를 블랜딩한 과일향이 풍부한 발랄하고 마시기 편한 와인이다. 철분의 미네랄 느낌도 있고 산미도 있어서 음식과 매치하기 좋다. 2014 빈티지는 여름에 적당한 강우량과 많이 무덥지 않은 기후 덕에 엘레강스한 와인이 생산된 아주 좋은 빈티지이다.

레스 크레스테스는 수닭이란 뜻으로 닭의 부지런한 근성을 존중하는 유럽의 문화를 레이블에 담고 있다.","
suziewang
2018.10.05
2014 빈티지
4.0
보랏빛이 감도는 루비빛. 약간의 말린 블루베리열매, 스파이스, 체리, 신선하고 산미와 스파이스 좋고 정말 부드러운 타닌. 즙이 있고 깔끔."
68,"루이 로드레, 브륏 프리미에","Louis Roederer, Brut Premier",150000.0,스파클링,프랑스,샹빠뉴,"헤이즐넛, 배, 사과, 효모","치즈, 해산물",-,4.5,11~12 %,1,3,4,1,"작은 기포가 지속력 있게 올라오며 그린 뉘앙스의 옅은 볏짚색을 띠며, 우아하게 올라오는 배, 사과 등의 과일 아로마가 풍부하게 올라오며 고급스러운 toasty함과 헤이즐넛의 고소한 아로마가 어우러져 섬세하면서도 힘 있는 부케를 형성하고, 입 안 가득 전해지는 뛰어난 기포감과 단단한 구조감, 풍부한 과실 풍미가 안정적인 미감을 형성함. 갓 구운 빵의 고급스러운 효모 풍미와 생동감 넘치는 산도감이 finish까지 길게 이어지는 와인이다. 약 4년-6년간 숙성되며 병입 후 평균 3년 지하 저장고에서 뉘어서 숙성 후 데고르쥬망 이후 6개월 이상 휴식한 후 출시한다.",
69,"떼땅져, 녹턴 시티 라이트","Taittinger, Nocturne City Light",257000.0,스파클링,프랑스,샹빠뉴,"배, 복숭아, 살구, 건포도, 꽃, 건포도, 시트러스","디저트, 치즈, 과일",-,-,12.5 %,2,4,3,1,"반짝이는 연한 노란색. 우아하고 섬세한 기포가 끊이지 않고 올라오고 신선함과 함께 흰 꽃의 향긋함, 잘 익은 과일의 향이 느껴지며 복숭아, 시트러스, 건살구의 뉘앙스가 옅보이는 와인이다. 부드럽고 원숙한 미감과 신선함이 처음 느껴지며 건포도와 과일시럽의 미감이 지배적. 부드럽고 길게 이어지는 기분 좋은 여운을 보여주는 샴페인이다.

35개의 각기 다른 크뤼의 포도밭에서 생산된 포도를 블랜딩 하였다. 최소 4년 동안 효모에 의한 숙성을 거친 후, 1 리터당 17g의 사탕수수의 당분을 첨가.“도사쥬”라고 불리는 첨가물은 샴페인의 완성된 품질, 원숙함과 잘 결합되며 차별화된 무게감과 매끄러움을 가져다 준다.",
70,페우디 디 산 그레고리오 타우라시,Feudi di San Gregorio Selve di Luoti Taurasi,90000.0,,이탈리아,깜빠니아,"체리, 바닐라, 시나몬",,-,3.9,14~15 %,1,2,5,4,"밝은 루비색을 띠고 야생 버찌, 체리, 시나몬, 바닐라의 풍부한 아로마가 느껴진다. 입 안에서는 달콤하고 부드러운 타닌이 아로마와 함께 오랫동안 여운을 남기며 훌륭한 밸런스를 자랑하는 풀 바디감의 와인이다.",
71,"끌로 뒤 발, 까베르네 쇼비뇽","Clos Du Val, Cabernet Sauvignon",180000.0,,미국,나파 밸리,"치즈, 소고기, 스튜",,-,3.8,14~15 %,1,4,5,5,"진한 검붉은 자주색에 짙은 과일향, 오크향, 검은 검포도, 구운 향신료와 다크 초콜렉, 가죽 향이 느껴진다. 입 안에서는 풍미가 넘치고 탄탄한 구조를 가지며 베리 파이, 모카, 체다, 블랙 페퍼와 토스티한 바닐라 맛이 크리미하고 둥그런 탄닌 구조감과 어우러지는 와인이다.",
72,고스트 파인 피노 누아,Ghost Pines Pinot Noir,38900.0,,미국,캘리포니아,"자두, 자두, 체리","치킨, 돼지고기, 돼지",-,4.6,13~14 %,1,4,3,2,"피노 누아의 전형적인 자두와 체리 노트에서 이어지는 부드러운 질감. 입안을 가득 채우는 풍부하고 진한 풍미 그리고 우아한 탄닌이 매력적인 와인이다.

고스트파인은 나파와 소노마를 기본으로 지역 블렌딩을 통해 탄생한 프리미엄 와인으로 출시 3개월 만에 홈플러스 내 프리미엄 레드 와인 카테고리 1위를 차지하며 큰 인기를 누리고 있는 와인이다. 출시 당시 현지가보다 저렴한 와인으로 국내소비자 및 와인애호가들에게 큰 화제가 된 바 있다.",
73,"프리츠 짐머, 리슬링 아우스레제","Fritz Zimmer, Riesling Auslese",51000.0,,독일,모젤-자르-루버,,,-,-,7.5 %,4,2,3,1,"모젤 리슬링을 사용한 프리츠 짐머는 가장‘모젤'스러운 느낌을 간직하고 있다. 아우스레제는 잘 익은 과실만을 골라 만들어 다른 와인보다도 리슬링의 달콤함을 잘 간직하고 있다.

잘 익은 과일의 감미로운 당도와 자연산도가 입안에서 느껴지며, 다양한 향이 복합적으로 느껴진다.",
74,"줄스 테일러, 피노 누아","Jules Taylor, Pinot Noir",100000.0,,뉴질랜드,말보로,"자두, 자두, 체리, 딸기, 초콜릿, 다크초콜릿, 오크","치즈, 육류요리, 파스타",-,-,14 %,1,5,4,3,"다크체리의 레드색을 띠고 체리, 산딸기, 자두의 향신료의 아로마가 느껴지면서 기분좋은 향기와 산미가 뒤따른다. 다크체리와 라즈베리의 캐릭터가 뚜렷하며 프렌치 오크숙성으로 다크초콜릿과 오크향의 터치로 마무리된다. 양고기스테이크와도 좋은 페어링을 보여준다.",
75,"아이언스톤, 로다이 쁘띠 시라","Ironstone, Lodi Petite Sirah",66000.0,,미국,로디,"배, 블루베리, 후추, 바닐라, 잼","소고기, 송아지, 버섯",-,-,,1,3,4,4,"풀바디의 진한 와인을 좋아한다면 아이언스톤 쁘띠 시라 2015는 머스트 헤브 아이템이다. 깊으면서도 어두운 보랏빛 잉크 색을 보이며 베리류 잼의 아로마가 가장 인상적이며 블루베리와 바닐라, 옅은 후추 향들이 균형을 이룬다. 입에서 느껴지는 삼나무와 바닐라 향이 부드러운 텍스처와 어우러져 매혹적인 피니시로 이어진다.

아이언스톤 쁘띠 시라는 로다이 세부 지역인 슬로우하우스(Sloughouse) AVA의 테이처트 렌치 포도밭에서 재배한다. 이 지역은 대부분 큰 암석들이 토양을 이룬다. 배수가 좋은 지역으로 최고의 쁘띠 시라가 자라기 좋은 환경을 이룬다.",
76,"라 마르카, 프로세코","La Marca, Prosecco",34900.0,스파클링,이탈리아,베네토,"사과, 복숭아, 시트러스, 꿀","치즈, 해산물, 샐러드",-,4,11~12 %,1,4,3,1,"맑고 투명한 금빛색상을 띠며, 산뜻한 시트러스한 느낌을 바탕으로 사과, 복숭아, 꿀 등 잘익은 과실향들이 잘 어우러져 있는 와인으로,특히 부드러운 거품과 지속성이 매우 뛰어나다.","
Kim Kathy Heyjung
2017.07.23
NV 빈티지
4.0
아주 달진 않지만 살짝 달달하면서 산미도 있고, 탄산감으로 가볍게, 깔끔하게 마시기 좋았다. 안그래도 화이트, 스파클링 와인이 요즘 좋았는데, 더운 여름에 더욱이나 산뜻하게 마시기 좋았던 와인.
violeta
2018.09.29
NV 빈티지
4.5
여름에 가볍게 마시기 좋은 라마르카 프로세코. 과일을 넣어 상그리아로 마시기에도 좋은 와인이다. 너무 튀지고 않고 데일리로 마시기에 적당하다. 선선한 가을에 피크닉용도로 기분내기 좋을듯 하다.
강소연
2017.07.19
NV 빈티지
5.0
눈을 간지럽히는 산뜻한 레몬컬러 오픈하자 마자 흘러나오는 넘치는 사과와 벌꿀향

작고 섬세한 기포와 입안을 깔끔하게 돋구는 산미 정말 좋은 식전주예요~
고연주
2017.07.19
NV 빈티지
4.0
더위가 기승을 부리면 부릴수록 간절히 생각나는 라 마르카 프로세코.
벌꿀향과 풋사과 향이 새침하게 맛으로 다가올때 이미 라 마르카 프로세코의 포로가 되어 버린 듯 합니다.가성비 좋다는 말로 형용할 수 없는 기쁨을 주는 라 마르카 프로세코. 적당한 스파클링 와인을 찾고 계신분께 적당함 그 이상을 줄 수 있는 스파크링 와인이 아닐까 해요.
공민지
2017.07.24
NV 빈티지
5.0
일단 가격대비 너무 좋네요. 청량감과 과실폭탄 아로마는 한여름 더위를 식혀주네요~
권미진
2017.07.21
NV 빈티지
3.0
시원한 민트빛깔 레이블이 눈을 사로잡는다.
얼음 가득 담을 바스켓만 있다면 라 마르카는 더운 여름 그 어디를 함께해도 기분좋게 해줄 와인이다. 포실한 기포에 기분좋은 산미와 당도는 여름 날 편하게 즐기기에 제격.
김성윤
2017.07.14
NV 빈티지
0.0
저는 여행가서 수영장에서 수영하다 마셨는데, 너무 좋았습니다^^
기포가 부드럽게 입안에 머금어지는게 시원하게 부는 바람과 함께 해변가의 거품 연상이 되었어요~
여행 가서 마시니 더 감성적이게 느껴진듯^^ 블루베리와 함께 마셨는데 가볍고, 새콤달콤 산미가 와인과 어우러져 좋았습니다
김소희
2017.07.23
NV 빈티지
5.0
잔에 따르자마자 보이는 오밀조밀 기포가
목으로 넘어갈 때 정말 시원하다라는 느낌을 전해주었고
함께 나는 아로마터치가 몹시 신선해서
하루 속 스트레스를 뻥 날려주는 기분이었다 ♡
김재연
2017.07.26
NV 빈티지
3.0
여름에 마시기에 적합한 스파클링
기포가 크지 않아 아쉽지만 깔끔하게 떨어지니
회랑 먹어도 괜찮은편
가성비로 따지자면 중간정도
극히 개인적인 견해이다.
백지영
2017.07.10
NV 빈티지
4.0
은은한 과일향과 당도가 적은 점이 좋았습니다. 가볍게 마시기 좋네요~
성광희
2017.07.11
NV 빈티지
5.0
산도와 당도가 적당히 잘 이루어져 어떤 음식과도 매치가 잘 될것같다.
더운 여름밤 차갑게해서 마시면 더욱 좋을 와인이다.
성향희
2017.07.21
NV 빈티지
4.0
청량하고 상큼한 스파클링 와인이라 요즘처럼 무더운 날 여름휴가지에서 즐기기 아주 딱입니다 ! 홈플러스에서 쉽게 구입할 수 있으니, 와인을 잘 모르는 사람도 즐기기에 아주 좋은것 같습니다. 복숭아, 아오리, 자두 등 여름과일들과 잘 어울리는 맛이에요.
안주영
2017.07.23
NV 빈티지
5.0
여름에 정말 잘 어울리는 가성비 좋은 스파클링 와인!!! 조밀한 탄산과 산뜻한 단맛으로 브런치타임에 딱 맞는 와인인 것 같아요!!
유종덕
2017.07.23
NV 빈티지
3.0
잔에 따르면 색은 옅은 볏집색으로 황금색보다는 아주 옅은 베이지계열의 색상입니다. 잔뒤가 투명하게 잘 보이는 맑은편입니다. 따르자마자 강한 탄산으로 인한 거품이 폭발적으로 잔위를 채우며, 비교적 짧은시간에 가라앉습니다. 한여름이라 사진으로보기에는 투명도가 잘 보이지 않습니다.
향은 레몬과 풋사과스러운 어딘가 풋풋한 향이 납니다. 맛은 달지 않고 드라이한 편이며, 산미도 강하지는 않지만 적당하게 다가옵니다. 마시다보면 약간의 스카치캔디 혹은 버터같은 향, 시원한 서양배같은 향이 나기도 합니다. 반복해서 마시다 보면 카페에서 서빙되는 레몬워터같은 옅은 산미가 잔잔하게 지속됩니다. 바디감은 가벼운 편이며, 탄산의 입자는 크고 중간정도의 강함으로 입안에서 터집니다. 전체적으로 가벼운 터치감의 스파클링 와인입니다.
더보기"
77,조엘 고트 815 까베르네 소비뇽,Joel Gott 815 Cabernet Sauvignon,77000.0,,미국,캘리포니아,"체리, 블랙베리, 바닐라",,-,-,13.9 %,1,3,4,4,"조엘 고트 815 까베르네 쇼비뇽은 오픈하는 순간 블랙베리, 바닐라, 체리향 농축된 과일향을 풍부하게 느낄 수 있다. 짙은 흑적색에 살짝 보랏빛도 가미된 멋진 컬러를 지니고 있으며, 탄닌이 강하지 않고 부드럽게 넘어가는 균형감이 좋은 와인이다.

2003년도에 기존에 있던 까베르네 쇼비뇽에 숫자 815가 추가되었다. 이는 조엘 고트와 세라 고트의 첫 번째 딸인 루시의 생일이고, 그 기념으로 815 까베르네 쇼비뇽 이라는 와인이 탄생되었다.

우리나라 8.15 광복절 날짜와 일치하여 미국에 거주하는 교포 및 유학생 사이에서는 선물, 축하 자리에 인기가 아주 좋은 와인이다.",
78,"피오 체사레, 네비올로 랑게","Pio Cesare, Nebbiolo Langhe",96000.0,,이탈리아,랑게,"자두, 자두, 체리, 블랙베리, 바닐라, 꽃, 장미, 제비꽃","치즈, 스테이크, 바비큐",-,3.5,,1,4,3,4,"붉은 빛의 가넷. 블랙베리, 장미, 제비꽃, 바닐라 향이 느껴진다. 잘 익은 자두, 체리 등의 풍미와 부드러운 탄닌, 달콤한 바닐라 풍미를 가진 와인이다.

네비올로 랑게는 가족 소유의 빈야드 5곳에서 자란 네비올로를 24개월 오크 숙성하여 장기 숙성이 가능한 피에몬테의 정체성이 담긴 와인이다.","
오주석
2018.09.22
2015 빈티지
3.5"
79,"가야, 브루넬로 디 몬탈치노 수가릴레","Gaja, Brunello di Montalcino Sugarille",460000.0,,이탈리아,몬탈치노,"자두, 자두, 체리, 꽃, 제비꽃",,-,4,15~16 %,1,4,5,5,"깊고 진한 루비 컬러에 야생 딸기, 농익은 자두, 바이올렛과 살짝 풍기는 클로브와 고급 담배향이 복합적인 아로마를 형성한다. 융합된 탄닌이 우아한 구조를 형성하여 복합적인 맛과 향이 살아있는 브루넬로이다.

가야 패밀리 소유의 포도원 삐에브 싼타 레스띠뚜따(Pieve Santa Restituta)의 한 부분을 차지하는 단일 포도원 '수가릴레'에서 생산한 포도로 양조한다. 표면적은 10에이커이며 점토질과 석회질이 기본 토양을 이룬다. 포도 나무의 수령은 평균 11년. 수가리레이 포도원은 1547년의 문헌인 PIEVE S. RESTITUTA 의 자원 조사 일람표에서도 찾아 볼 수 있을 정도로 역사가 오래된 포도원이다. 3주간 스테인레스 스틸 탱크에서 알코올 발효하고 그 후 전통적인 나무 캐스크와 오크 통에서 24개월간 숙성한다.",
80,몬테스 알파 블랙 라벨 카버네 소비뇽,Montes Alpha Black Label Cabernet Sauvignon,67000.0,,칠레,콜차구아 밸리,"배, 오크",,-,4,14~15 %,1,3,5,4,"몬테스 알파 블랙 라벨 카버네 소비뇽은 깊고 강렬한 루비-레드 빛깔의 와인으로 칠레 최고의 프리미엄 레드 와인 생산지인 콜차구아 밸리에서 만들어진 카버네 소비뇽 와인이다. 특히 새롭게 선보이는 ‘블랙 라벨’은 콜차구아 밸리 내에서도 아팔타와 마르치구엘 포도밭의 가장 프리미엄 구획에서만 양질의 포도를 선별하였다. 또한, 기존 알파보다 수확시기를 일주일 연장하여 더욱 응축된 과실 아로마와 실키한 타닌을 가지며, 몬테스 알파보다 4개월 더 긴 16개월 동안 프렌치 오크에서 숙성과정을 거쳐 토스티한 풍미와 크리미한 질감을 배가시켰다.",
81,"로버트 몬다비, 까베르네소비뇽","Robert Mondavi, Cabernet Sauvignon",101000.0,,미국,나파 밸리,"배, 정향, 모카","소고기, 스테이크",89.7점,4,15~16 %,1,3,4,4,"진한 자주색을 띠며, 블랙 베리 같은 검은 과일의 풍미가 입안 한 가득 느껴진다. 나무, 모카, 담배, 정향의 풍미가 자연스럽게 어우러 지며 모카의 힌트가 스민 긴 피니시가 여운을 남기는 와인이다.",
82,"베리 브라더스 & 러드, 프로방스 로제","Berry Bros. & Rudd, Provence Rose",18900.0,,프랑스,프로방스,"크랜베리, 꽃",,-,4.5,13 %,1,3,2,1,"꼬뜨 드 프로방스 지역에서 생산된 상큼하고 우아한 베리향의 로제 와인. 사랑스런 연핑크의 컬러와 풍성한 라즈베리, 크랜베리의 과일 향이 매력적인 로제 와인으로 풍부한 과즙과 섬세한 꽃향 그리고 은은한 향신료 향의 조화가 돋보이는 와인이다.","
winetoktok
2017.11.16
2016 빈티지
4.5
은은하고 우아한 맛과 향을 가진 프로방스의 드라이 로제^^ 코와 입에서 스치는 스파이시함이 참 매력적입니다~ 이 가격대에 프로방스 드라이 로제라니..... 꼭 드셔보시길 추천합니다 ^^"
83,"볼랭저, 그랑 아네","Bollinger, Grand Annee",267000.0,스파클링,프랑스,샹빠뉴,"헤이즐넛, 생강, 바닐라, 꽃, 오렌지","조개구이, 생선회, 초밥",-,4,12~13 %,1,3,3,1,"라는 이름 그대로 좋은 빈티지에만 생산되는 최상급 샴페인. 그랑 아네는 최소 6년 이상 셀러에 보관되며, 7g/l의 low dosage.
그랑 아네 2007에 사용되는 14개 크뤼 (crus) 중 91%가 Grands crus이며, 9%는 Premier crus.

꿀, 생강빵, 계피, 헤이즐넛, 말린 꽃 향 등 다채로운 아로마의 향연이 펼쳐지며, 풍성한 질감과 긴 피니시가 오렌지, 잘 익은 과일, 바닐라 풍미를 통해 느껴진다. 섬세한 산도는 마지막 한 모금 까지 신선함을 유지해준다.",
84,"판티니, 에디찌오네 콜렉션","Fantini, Edizione Collection",179000.0,,이탈리아,아브루쪼,"배, 자두, 자두, 체리, 블랙커런트, 바닐라, 잼",스테이크,-,4,14~15 %,1,4,5,5,"매우 강렬한 가넷 레드색을 띠고, 체리, 자두, 블랙커런트, 담배, 카카오, 초콜릿, 바닐라, 잼등의 매우 다양하고 복합적이다. 매우 농후하고 풍부한 과실맛, 훌륭한 타닌과 구조감, 섬세하면서도 견고하고 매끈하게 끝나는 풀 바디의 최고급 와인이다.

파네세 그룹의 밭 30,000ha 중, 에디찌오네를 생산하는 밭은 불과 7ha에 불과하다. 2개의 다른 주에서 생산된 포도로 만들어져 빈티지를 표시할 수 없지만, 파네세 중진들은 “진정으로 위대한 와인을 만들기 위해서는 품질이 우선이다” 라고 단언하며 새로운 프로젝트를 진행하였다. 세계적인 F-1 카레이서 미하엘 슈마허(Michael Schumacher)는 에디찌오네를 파레트 단위로 구입하여 반은 개인적으로 즐기고, 반은 그가 소유하고 있는 레스토랑에서 사용하고 있다. 2017 Best Italian Producer 선정 기념 리미티드 에디션 와인이다.",
85,샤또 라 루비에르 화이트,Chateau La Louviere White,80000.0,,프랑스,뻬싹-레오냥,"가금류, 소고기",,-,5,,1,4,3,1,2017 빈티지는 소비뇽 블랑 100%로 만들어졌다.,
86,"아티센코, 브뤼","Arteis & co, Brut Millesime",,스파클링,프랑스,샹빠뉴,"배, 복숭아, 브리오슈, 레몬, 버터","치즈, 해산물, 샐러드",-,4,,1,5,3,1,"윤택있는 황금색에 생동감 있는 버블이 보이고 배, 복숭아, 레몬, 파인애플, 너트, 브리오슈, 버터의 아로마가 느껴진다. 입 안에서는 우아함과 화려한 캐릭터가 두드러지며 잘 짜여진 구조감과 배, 복숭아 등의 과실향, 고소하면서도 Nutty한 매력적인 아로마를 표현한다. 날 선 산미와 어우러지는 크리미한 버블까지 완벽한 밸런스를 선보이는 와인이다.

Dosage : 4g/liter, Ageing : 132개월",
87,"콜롬비아 크레스트, 리저브 레드 월터 클로어","Columbia Crest, Reserve Red Walter Clore",,,미국,워싱턴,"배, 체리, 블랙베리, 블랙체리, 코코아, 오크",,-,-,15 %,1,4,5,4,"클래식한 보르도 스타일의 와인으로, 블랙베리, 블랙체리 등 검은 과일의 진한 향과 맛에 은은한 향신료 여운, 감미로운 코코아 맛이 느껴지며 깊이 있게 녹아든 품질 좋은 탄닌이 우아한 캐릭터를 만들어낸다.

와인에 향과 복합미를 더해주는 Wahluke 아펠레이션의 포도, 과즙 맛을 살려주는 Cold Creek 구획의 포도, 입 안 가득 즐거운 텍스쳐와 바디감을 자아내는 Horse Heaven Hills의 포도를 사용해 깊이감을 더한다. 포도는 모두 손으로 수확해 줄기와 잎을 제거하고 발효, 26개월 간 프랑스산 오크 배럴에서 숙성과정을 거친다.

황무지와 같았던 미국 워싱턴의 농지를 와인 명산지로 만들어내 “워싱턴 와인의 아버지”로 불리는 양조가 월터 클로어에게 헌정하는 의미로 만든 한정생산 와인이다. 연간 120병 소량으로 수입하고 있다.",
88,"군터록, 장 밥티스트 리슬링 카비넷","Gunderloch, Jean Baptiste Riesling Kabinett",74000.0,,독일,라인헤센,"복숭아, 꽃, 파인애플, 미네랄","케이크, 견과류, 과일",-,-,10 %,1,5,2,1,"아삭한 그린 애플과 파인애플, 그리고 복숭아의 복합적인 맛이 잘 어우러지며 미네랄의 고혹적인 맛이 과일과 꽃의 느낌을 더욱 살려준다.",
89,"샴페인 드 브노쥬, 루이 도르 브뤼","Champagne de Venoge, Louis d'Or Brut",990000.0,스파클링,프랑스,샹빠뉴,"바닐라, 브리오슈, 버섯, 미네랄",전채요리,-,-,12 %,1,4,4,1,"밝고 선명한 황금색 컬러와 장기 숙성에서 오는 섬세한 버블이 특징이며 부드러운 바닐라 노트, 이스트가 주는 브리오슈와 버섯 등의 복합적인 아로마를 느낄 수 있다. 우아하고 섬세하지만 여전히 단단한 구조감과 미네랄 그리고, 긴 피니쉬를 지녔다. Cramant, Avize, Oger, Chouilly 등 그랑크뤼 밭에서 수확된 포도로만 양조하며, de Venoge의 지하 셀러에서 병내 2차 발효 및 10년간 Lees 숙성 후 출시한다.

전 세계 100여 곳의 미슐랭 레스토랑에 리스팅된 가스트로노미 샴페인으로 세계적인 샴페인 평론가 리차드 줄리앙 (Richard Juhlin) 3Stars 샴페인 하우스이다. 이런 샴페인 드 브노쥬의 설립 180주년을 기념하기 위해 기존 루이 15세의 스페셜 에디션인 루이 도르(Louis d’Or)를 출시하였다. 기존의 까라프 형태의 바틀에 특수 인쇄기술을 도입 한 메탈골드 룩이 적용되어 그 가치를 더 하였고, 세기의 빈티지 중 하나로 평가받는 1996년 와인으로 설립연도와 같은 1873병만 한정 생산한다.",
90,"엑셀시오르, 까베르네 쇼비뇽","Excelsior, Cabernet Sauvignon",32000.0,,남아프리카,로버트슨,"블랙커런트, 허브, 오크","치즈, 스테이크, 등심",-,-,14.5 %,1,4,4,4,"검은 매실색을 띄며 잘익은 블랙커런트, 허브향이 풍부하다. 부드럽게 익은 탄닌은 오크향과 달콤한 과일향과의 균형을 보여준다. 부드럽고 구조감있는 마무리를 보여준다.",
91,도멘 드 슈발리에 블랑,Domaine de Chevalier Blanc,200000.0,,프랑스,뻬싹-레오냥,"사과, 자몽, 오크, 미네랄",해산물,-,-,13~14 %,1,4,3,1,"도멘 드 슈발리에 블랑은 페삭 레오냥에서 가장 유명한 화이트 와인이며, 부르고뉴와 루아르의 그늘에 다소 가려진 보르도 화이트 와인의 중후한 멋을 잘 보여주고 있다. 소비뇽 블랑의 특징은 자른 풀, 자몽, 사과 등의 특징이 충실한 미네랄의 느낌과 함께 공존 하여 와인을 아름답게 만들고 있다. 과실적 섬세함을 해치지 않기 위해서 와인의 35%만을 약 18개월 오크통에서 숙성시켰다.",
92,"타라파카, 그란 레세르바 시라","Tarapaca, Gran Reserva Syrah",66000.0,,칠레,마이포 밸리,"체리, 후추, 꽃, 오크","칠면조, 돼지",-,-,14~15 %,1,3,4,3,"타라파카 그란 레세르바는 여타의 경쟁 브랜드를 모두 제치고 브랜드 판매, 인지도 모두 1위를 차지한 칠레 국가대표 ‘그란 레세르바' 와인. 약 12개월 동안 프랑스 & 미국산 오크통에서 숙성 진행한다. (원액의 20%는 새 오크통에서 숙성 진행) 블랙 베리, 블랙 체리와 같은 검은 과일향과 바이올렛 꽃향, 흰 후추와 블랙 올리브의 향까지 층층이 펼쳐지는 복합적인 향을 느낄 수 있다. 풀 바디의 와인으로 벨벳과 같이 부드럽고 잘 숙성된 탄닌의 질감이 달콤한 검은 과일향 등과 어우러져 긴 여운을 느낄 수 있다.",
93,"덕혼, 나파 밸리 샤도네이","Duckhorn, Napa Valley Chardonnay",100000.0,,미국,나파 밸리,"배, 서양배, 복숭아, 바닐라, 레몬, 오렌지, 오크","해산물, 닭고기",-,4,14.1 %,1,3,4,1,"나파밸리의 서늘한 지역에서 자란 샤도네이로 만든 이 와인은 프렌치 오크통에 발효를 하며 미국이 아닌 프랑스 방식으로 양조를 진행한다. 서양배와 레몬크림, 바닐라의 향과 함께 미네랄의 맛이 복합적으로 느껴지는 샤도네이 와인으로 입안에서 풍부함과 우아함이 균형적으로 느껴짐과 동시에 복숭아와 오렌지의 향이 오랫동안 입안에 남아있다. 나파밸리 샤도네이 특유의 복합적이고 풍부한 향과 맛을 나파밸리 샤도네이를 통해 느끼실 수 있다.",
94,볼랭저 알디,Bollinger R.D.,550000.0,스파클링,프랑스,샹빠뉴,"치즈, 꽁떼, 리조또, 버섯",,-,-,,1,3,4,1,"2004빈티지는 피노누아(Pinot Noir) 66%와 샤르도네(Chardonnay) 34%가 블렌딩 되었다. 16개의 크뤼에서 수확된 포도를 사용하였고, 이중 88%는 그랑 크뤼, 12%는 프르미에 크뤼 밭에서 수확한 포도로 만들어졌다. 도사지는 3g이다.",
